scenario_id,avg_engagement,avg_attention,retention_score,curiosity_index,teacher_impact_score,words_per_minute,questions_detected,interaction_rate,sentiment,hand_raises,outcome,recommendations
scenario_001,85,82,78,72,85,145,18,68,positive,25,excellent,"Continue current practices, consider peer observation"
scenario_002,45,40,48,35,52,195,8,25,neutral,8,critical,"Slow down pace immediately, increase questions, use active learning"
scenario_003,72,68,65,58,70,135,15,55,positive,18,good,"Increase wait time after questions, add more student-led activities"
scenario_004,38,35,42,30,45,210,5,20,negative,5,critical,"Emergency intervention: stop lecturing, switch to discussion, build relationships"
scenario_005,88,85,82,78,88,150,22,75,positive,32,excellent,"Model teacher - use for training others"
scenario_006,55,50,52,45,58,165,12,35,neutral,12,needs_improvement,"Add think-pair-share, increase visual aids, check understanding more"
scenario_007,65,70,68,62,68,125,10,45,positive,15,good,"Increase pace slightly, ask more higher-order questions"
scenario_008,42,38,45,32,48,188,7,22,negative,6,critical,"Implement attention resets, use Socratic method, positive reinforcement"
scenario_009,78,75,72,68,76,142,16,62,positive,22,good,"Add spaced repetition, use retrieval practice"
scenario_010,50,48,50,42,55,175,9,30,neutral,10,needs_improvement,"Reduce cognitive load, chunk information, add movement breaks"
scenario_011,82,80,76,70,80,138,19,65,positive,28,excellent,"Maintain strategies, document for best practices"
scenario_012,35,32,38,28,40,220,4,18,negative,4,critical,"Complete lesson redesign needed, focus on engagement first"
scenario_013,68,65,62,55,66,155,14,50,positive,16,good,"Implement cold calling with support, increase peer teaching"
scenario_014,58,55,58,48,60,148,11,38,neutral,13,needs_improvement,"Use more real-world examples, connect to student interests"
scenario_015,90,88,85,82,90,152,24,80,positive,35,excellent,"Exemplary teaching - share strategies with colleagues"
scenario_016,48,45,46,38,50,198,6,28,neutral,8,critical,"Immediate: switch to active learning, long-term: relationship building"
scenario_017,75,72,70,65,74,140,17,58,positive,20,good,"Add formative assessments, use exit tickets"
scenario_018,40,42,44,35,46,185,8,24,negative,7,critical,"Address classroom climate first, then engagement strategies"
scenario_019,70,68,66,60,70,132,15,52,positive,18,good,"Increase student talk time to 70%, use structured discussions"
scenario_020,52,50,54,46,56,170,10,32,neutral,11,needs_improvement,"Implement multimodal teaching, add hands-on activities"
scenario_021,86,84,80,75,84,146,20,70,positive,30,excellent,"Continue excellence, mentor other teachers"
scenario_022,44,40,42,33,47,205,7,26,negative,6,critical,"Slow pace, increase questions to 20+, use equity sticks"
scenario_023,72,70,68,62,72,136,16,56,positive,19,good,"Add concept mapping, use jigsaw learning"
scenario_024,60,58,60,52,62,160,13,42,neutral,14,needs_improvement,"Increase wait time to 5 seconds, use more open-ended questions"
scenario_025,92,90,88,85,92,148,25,82,positive,38,excellent,"Master teacher - create video examples for training"
scenario_026,36,34,40,30,42,215,5,20,negative,5,critical,"Stop and reset: use games, build positive climate, celebrate small wins"
scenario_027,76,74,72,68,76,144,18,60,positive,24,good,"Implement inquiry-based learning, student-led investigations"
scenario_028,54,52,56,48,58,168,11,36,neutral,12,needs_improvement,"Use think-alouds, model problem-solving, increase scaffolding"
scenario_029,80,78,74,72,80,150,19,66,positive,26,excellent,"Strong performance, consider action research project"
scenario_030,46,44,48,40,52,192,8,28,neutral,9,critical,"Redesign with 60% active learning, reduce teacher talk time"
scenario_031,88,86,82,78,86,145,21,72,positive,32,excellent,"Exemplary - use for professional development sessions"
scenario_032,62,60,62,56,64,158,14,46,positive,16,good,"Add more student choice, differentiate instruction"
scenario_033,56,54,58,50,60,172,12,38,neutral,13,needs_improvement,"Use formative assessment apps, increase feedback frequency"
scenario_034,84,82,78,74,82,142,20,68,positive,28,excellent,"Outstanding - document strategies for school-wide implementation"
scenario_035,38,36,42,32,44,208,6,22,negative,6,critical,"Emergency plan: relationship building, positive language, engagement activities"
scenario_036,74,72,70,66,74,138,17,58,positive,21,good,"Implement spaced repetition schedule, use cumulative assessments"
scenario_037,64,62,64,58,66,154,15,48,positive,17,good,"Add more collaborative learning, use structured academic controversy"
scenario_038,50,48,52,44,54,178,10,34,neutral,11,needs_improvement,"Increase movement breaks, use brain teasers, add humor"
scenario_039,78,76,74,70,78,146,18,62,positive,24,good,"Strong teaching, add peer feedback opportunities"
scenario_040,42,40,46,36,48,200,7,26,negative,7,critical,"Immediate intervention needed: active learning, positive climate, slow pace"
