teacher_id,student_id,subject,rating,clarity,engagement,helpfulness,pace,difficulty_handling,feedback_text
T001,S001,Computer Science,5,5,5,5,5,5,"Excellent teacher! Makes complex AI concepts easy to understand"
T001,S002,Computer Science,5,5,4,5,4,5,"Great at explaining machine learning algorithms"
T001,S003,Computer Science,4,5,5,4,5,4,"Very engaging projects and real-world applications"
T002,S004,Mathematics,5,5,4,5,5,5,"Best math teacher! Explains calculus brilliantly"
T002,S005,Mathematics,5,5,5,5,4,5,"Makes difficult topics seem easy"
T002,S006,Mathematics,4,5,4,5,5,4,"Very patient and thorough with explanations"
T003,S007,Physics,5,4,5,4,5,5,"Love the hands-on experiments"
T003,S008,Physics,4,5,4,5,4,4,"Good at demonstrating concepts practically"
T003,S009,Physics,5,4,5,5,5,5,"Makes physics fun and interesting"
T004,S010,Chemistry,4,4,4,5,4,4,"Good lab sessions and practical work"
T004,S011,Chemistry,5,5,4,4,5,5,"Excellent at organic chemistry"
T005,S012,Biology,5,5,5,5,4,5,"Amazing visuals and explanations"
T005,S013,Biology,5,5,4,5,5,5,"Makes biology come alive"
T006,S014,English Literature,5,4,5,5,5,4,"Inspiring discussions and creative assignments"
T006,S015,English Literature,4,5,5,4,4,5,"Great at analyzing poetry"
T007,S016,Economics,5,5,4,5,5,5,"Real-world examples make it relevant"
T007,S017,Economics,4,5,5,5,4,4,"Case studies are very helpful"
T008,S018,History,4,4,4,5,4,4,"Good storyteller, makes history interesting"
T008,S019,History,5,5,5,4,5,5,"Contextual approach helps understanding"
T009,S020,Computer Science,5,5,5,5,5,5,"Best for learning web development"
T009,S021,Computer Science,5,5,4,5,4,5,"Practical coding sessions are excellent"
T010,S022,Mathematics,5,5,5,5,5,5,"Conceptual clarity is outstanding"
T010,S023,Mathematics,4,5,4,5,5,4,"Application-based teaching works well"
T011,S024,Physics,5,4,5,5,4,5,"Astrophysics lectures are mind-blowing"
T011,S025,Physics,4,5,4,4,5,4,"Theoretical concepts well explained"
T012,S026,Chemistry,4,4,5,4,4,4,"Good demonstrations in class"
T012,S027,Chemistry,5,5,4,5,5,5,"Interactive sessions are helpful"
T013,S028,Biology,5,5,5,5,5,5,"Research-oriented approach is great"
T013,S029,Biology,5,5,4,5,4,5,"Microbiology labs are excellent"
T014,S030,Computer Science,5,5,5,5,5,5,"Deep learning course was amazing"
T014,S031,Computer Science,5,5,5,5,4,5,"Perfect balance of theory and practice"
T015,S032,Mathematics,4,5,4,5,5,4,"Very patient with slow learners"
T015,S033,Mathematics,5,4,5,4,4,5,"Step-by-step approach helps a lot"
